unit,parent_iso3,metric,year,value,unit_measure,precision,methodology_notes
SI-064,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-064,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-064,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-064,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-167,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-167,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-167,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-167,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-167,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-167,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-065,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-065,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-065,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-065,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-065,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-065,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-066,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-066,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-066,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-066,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-066,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-066,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-068,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-068,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-068,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-068,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-068,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-068,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-067,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-067,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-067,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-067,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-067,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-067,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-069,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-069,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-069,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-069,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-069,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-069,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-198,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-198,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-198,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-198,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-198,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-198,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-070,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-070,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-070,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-070,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-070,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-070,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-168,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-168,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-168,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-168,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-168,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-168,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-071,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-071,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-071,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-071,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-071,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-071,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-072,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-072,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-072,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-072,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-072,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-072,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-073,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-073,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-073,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-073,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-073,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-073,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-074,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-074,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-074,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-074,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-074,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-074,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-169,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-169,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-169,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-169,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-169,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-169,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-075,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-075,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-075,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-075,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-075,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-075,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-212,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-212,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-212,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-212,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-212,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-212,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-170,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-170,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-170,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-170,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-170,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-170,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-076,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-076,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-076,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-076,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-076,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-076,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-199,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-199,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-199,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-199,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-199,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-199,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-078,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-078,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-078,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-078,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-078,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-078,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-077,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-077,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-077,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-077,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-077,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-077,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-079,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-079,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-079,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-079,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-079,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-079,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-080,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-080,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-080,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-080,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-080,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-080,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-081,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-081,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-081,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-081,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-081,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-081,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-082,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-082,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-082,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-082,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-082,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-082,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-083,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-083,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-083,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-083,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-083,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-083,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-084,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-084,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-084,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-084,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-084,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-084,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-085,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-085,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-085,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-085,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-085,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-085,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-086,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-086,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-086,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-086,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-086,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-086,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-171,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-171,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-171,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-171,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-171,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-171,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-087,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-087,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-087,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-087,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-087,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-087,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-088,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-088,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-088,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-088,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-088,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-088,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-089,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-089,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-089,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-089,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-089,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-089,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-090,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-090,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-090,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-090,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-090,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-090,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-091,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-091,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-091,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-091,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-091,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-091,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-172,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-172,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-172,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-172,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-172,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-172,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-093,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-093,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-093,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-093,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-093,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-093,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-092,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-092,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-092,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-092,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-092,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-092,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-200,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-200,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-200,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-200,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-200,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-200,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-173,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-173,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-173,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-173,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-173,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-173,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-094,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-094,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-094,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-094,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-094,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-094,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-174,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-174,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-174,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-174,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-174,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-174,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-095,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-095,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-095,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-095,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-095,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-095,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-175,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-175,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-175,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-175,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-175,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-175,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-096,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
SI-096,SVN,gdp,2024.0,72485008929.2766,current USD,2,GDP current US$ (World Bank estimate)
SI-096,SVN,unemployment_rate,2024.0,3.357,% of labor force,2,Unemployment rate (modeled ILO estimate)
SI-096,SVN,inflation_cpi,2024.0,1.96562656432512,% change,2,"Inflation, consumer prices annual %"
SI-096,SVN,labour_force_participation,2024.0,58.358,% of population,2,Labor force participation rate (modeled ILO estimate)
SI-096,SVN,broadband_subscriptions,2023.0,31.8815,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
SI-097,SVN,population,2024.0,2126324.0,people,1,Total population (World Bank estimate)
